CommentTextDisplay	cleanComment	Sentiment
Can use it like weapon if your good at throwing	use like weapon good throw	1
I’m making a YouTube channel related to yours because you and me are very talented	im make youtub channel relat talent	0
August 17 bros for part 2	august 17 bro part 2	0
Really cool 😎	realli cool	1
My mom has cancer, and we don't know if she's gonna make it. Please sub so I can prove to her that people don't want her to die 😓😰	mom cancer dont know she gon na make pleas sub prove peopl dont want die	-1
Twisted fate in real life	twist fate real life	0
Tip Cody always use ninja star fidget spinner	tip codi alway use ninja star fidget spinner	0
Definitely high to low!	definit high low	0
Guys, pause the video on 2 minutes and 52 second.. You will find that was a ATM CARD.. Dude!!	guy paus video 2 minut 52 second find atm card dude	0
Dude, how can I buy this aeroplane?	dude buy aeroplan	0
Malachi Moore why on a dude perfect video ?	malachi moor dude perfect video	1
The amount of burgers they wasted 😭	amount burger wast	-1
People are flipping pretty much everything this year...    Even their couches...	peopl flip pretti much everyth year even couch	1
Can I have some merchandise	merchandis	0
i so happy  but u ar so late for new video	happi u ar late new video	1
Quick and fast?	quick fast	0
Yeah like when u don’t know how to play a game and u press a button at a certain time and win a JACKPOT	yeah like u dont know play game u press button certain time win jackpot	1
Make a part 3!	make part 3	0
Last is my favourite shoot	last favourit shoot	1
it's the  high to low shot	high low shot	0
do darts trick shots	dart trick shot	0
When they said you need something fast I thought amazon prime	said need someth fast thought amazon prime	0
Sub to me plz	sub plz	0
Thats so nice	that nice	1
iLagucci why not!😊😊	ilagucci	0
1:39 'I've got a fresh brewed cup of coffee'... Homeboy put in Swiss Miss	139 ive got fresh brew cup coffe homeboy put swiss miss	-1
I remember watching their videos every day. Dude perfect was legendary in 2017-2018. Now that I watched it again it’s so nostalgic	rememb watch video everi day dude perfect legendari 20172018 watch nostalg	1
gd, the product placements in these are annoying af	gd product placement annoy af	-1
How do you do these extraordinary and fantastic things so easily you  guys are doing best .anyway I want to ask from which year you are doing this pretty thing	extraordinari fantast thing easili guy best anyway want ask year pretti thing	1
Couldn't watch, music was too bad	couldnt watch music bad	-1
Nostalgia kicking in hard rn	nostalgia kick hard rn	-1
Dude I wanna Dude Perfect fidget spinner but I don't have $33 that's a crazy price! Please Lower it down or nobody will probably buy one. Like if they should I lower it	dude wan na dude perfect fidget spinner dont 33 that crazi price pleas lower nobodi probabl buy one like lower	1
How many Ed cars did they go through in the high speed drive through	mani ed car go high speed drive	0
I bet 1,000,000,000,000 dollars that the next Dude Perfect video will be 'Beach Stereotypes'	bet 1000000000000 dollar next dude perfect video beach stereotyp	1
so did the giant Pringles box have giant chips or what	giant pringl box giant chip	0
Omg what is with the wheels on the e revo at the end lol they are like 1/18 scale XD	omg wheel e revo end lol like 118 scale xd	1
The scream?	scream	-1
Where is the french subtitles ? 😢😢	french subtitl	0
4:53 is hi-lo	453 hilo	0
+Quarter Four You mean this publicity for pringles ? Don't worry it's just the vidéo	quarter four mean public pringl dont worri vidéo	-1
What has this world come to?	world come	0
Viewers are getting pranked, many of their shots are faked or edited	viewer get prank mani shot fake edit	0
108mil subs holy crap	108mil sub holi crap	-1
I’m surprised the silver bullet’s top half didn’t rocket up into space because it’s a literal bullet	im surpris silver bullet top half didnt rocket space liter bullet	1
I was first 😂	first	0
i  subscribe  it  and  like	subscrib like	1
Why is there a rage monster in ever stereotype it’s getting boring	rage monster ever stereotyp get bore	-1
What was final hight of last rocket??	final hight last rocket	0
Is panda back the carmera for where panda are there is another person	panda back carmera panda anoth person	0
Hey dude want perfect butterfly knife trickshot	hey dude want perfect butterfli knife trickshot	1
can our people who dont do trick shots be in a vid and do the trick shots plz	peopl dont trick shot vid trick shot plz	0
we need the bottle blaster. if there's a bottle in video you must do the bottle buster	need bottl blaster there bottl video must bottl buster	0
Am I the only one who has not yet used it... 😂😂	one yet use	0
Do bottle cap edition	bottl cap edit	0
high to low to low to high	high low low high	0
twin spin	twin spin	0
Hey i think someone edit how they flip the water bottle	hey think someon edit flip water bottl	0
this cannel is so awsome that I cant have hate	cannel awsom cant hate	-1
the panda is desiigner	panda desiign	0
what was the height of garret's rocket	height garret rocket	0
Dude perfect has the best content on you tube	dude perfect best content tube	1
These guys are just super awesome.	guy super awesom	1
They have more money which can buy 100000 more spinners	money buy 100000 spinner	0
Good luck with cleaning	good luck clean	1
That moment when you cant even throw the spinner forma one hand to another :(	moment cant even throw spinner forma one hand anoth	0
what's the name of the background song?	what name background song	0
Where can i buky this planes ?	buki plane	0
You should flip a car.	flip car	0
Dollars    rich  dude perfect Yeahhhhhhhhhhhhhhhh  fidget spinner spin  people blah blah blah blah	dollar rich dude perfect yeahhhhhhhhhhhhhhhh fidget spinner spin peopl blah blah blah blah	-1
This vid made the over 900,000 dollars	vid made 900000 dollar	0
2:52 i think its an ATM card :)	252 think atm card	0
High to low	high low	0
its like tactical nuke :V	like tactic nuke v	1
Get a life	get life	0
Wow all of you guys are so good at flipping different things wwwwwwooooooowwwwwwww	wow guy good flip differ thing wwwwwwooooooowwwwwwww	1
all you have to do to gey hella veiws is put fidget spinner in the title and evrey little kid id gonna click on it	gey hella veiw put fidget spinner titl evrey littl kid id gon na click	0
thats high to low	that high low	0
How is that a sliver bullet it’s a gold bullet	sliver bullet gold bullet	1
do the marker flip	marker flip	0
Is anyone else surprised that Garret did not use the purple shovel	anyon els surpris garret use purpl shovel	0
Find the difference 🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁☹️🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁	find differ	0
Can you do more bowling trick shots	bowl trick shot	0
That coin flip was fake but love the video	coin flip fake love video	0
why you scream always? :D	scream alway	-1
Where Is Garret?	garret	0
That is awesome	awesom	1
This video was the very first dude perfect video I ever watched 2nd was overtime 6	video first dude perfect video ever watch 2nd overtim 6	1
I think he ment she's a fire	think ment she fire	-1
Please pubg part 2	pleas pubg part 2	1
Hey dp guys I have an question in my mind that what is your source of income....... Can you tell me please..????😇😇	hey dp guy question mind sourc incom tell pleas	1
Need more videos	need video	0
Love the song! :D	love song	1
I’m impressed with your work and your job	im impress work job	1
Flip your balls	flip ball	0
@@Unknown13459 Yes, but the V2 was a german long-range ballistic rocket in WW2	unknown13459 ye v2 german longrang ballist rocket ww2	1
Awesome guys...   U guys have the real guts	awesom guy u guy real gut	1
You rich man. P.s : i am Russia.	rich man ps russia	1
No ladders were hurt in the process	ladder hurt process	-1
Flip your own self	flip self	0
Who else has seen every single one of their videos	els seen everi singl one video	0
do. a  flip ,  bottle. flip	flip bottl flip	0
Best trick shoot is the with pizza	best trick shoot pizza	1
The last stunt	last stunt	0
Both		0
I want a plane	want plane	1
i have one but it goes 35 miles an hour	one goe 35 mile hour	0
You guys are terrible, amazing, superb, fabulous and every possible words for a perfect dude	guy terribl amaz superb fabul everi possibl word perfect dude	1
1000 people that like this will have 1 billion dollars 💵	1000 peopl like 1 billion dollar	1
Dp can you do Lego boat barrel it has to be big enough so you can fit in it	dp lego boat barrel big enough fit	1
dude perfect is the best	dude perfect best	1
Low to high	low high	0
This looks so awesome 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👏👏👏👏👏👏👏👏👏👏👏👏😉😉😉😉😉😉😉😉😉😉😉😉😉😉🤣🤣🤣🤣🤣🤣	look awesom	1
You Guys Are Really Perfect Dude's	guy realli perfect dude	1
These dudes get SO many views	dude get mani view	0
gofundme.com/autoimmune-divorce thanks for looking and helping	gofundmecomautoimmunedivorc thank look help	1
This Reminds me of the movieNow You See Me 😭	remind movienow see	0
Ok I wasn't the dude perfect and the golden blurry figet	ok wasnt dude perfect golden blurri figet	1
'Right In the chest' *Pats belly*	right chest pat belli	0
I tried this and if one thing is a slightly wrong it does not work	tri one thing slightli wrong work	-1
02:05 R.I.P the lader	0205 rip lader	0
I want to go see you tomorrow	want go see tomorrow	1
That's a bay not a beach	that bay beach	0
Did any one notice that they used a credit card to break the glass ?? 🙄	one notic use credit card break glass	0
Cool , awesome and fantastic tricks of ping pong ball	cool awesom fantast trick ping pong ball	1
Old but gold	old gold	1
I‘m the souvenir guy...	im souvenir guy	0
This is Awesome. You should do more	awesom	1
I did like Owens son but I really liked the first one :)	like owen son realli like first one	1
Where to buy the dp spinner	buy dp spinner	0
2:32: Mission failed we’ll get em next time	232 mission fail well get em next time	-1
I love Cory,s and coby,s shots	love cori cobi shot	1
This carried my childhood 😭	carri childhood	0
Like or clowns will kill you	like clown kill	-1
dis is perfect	di perfect	1
to be honest I would love to join dude perfect and be with them to do trick shots	honest would love join dude perfect trick shot	1
flip a bed	flip bed	0
it's called physics	call physic	0
how much they learning the trick ?????	much learn trick	0
Whoever disliked this video they neeed to get life together	whoever dislik video neeed get life togeth	-1
Not sure what 21k people are disliking this for.. like it's a channel where they do choreographed trick shots.. What are you mad about? It's so straight forward.	sure 21k peopl dislik like channel choreograph trick shot mad straight forward	0
In the making of this 4 fingers were amputated	make 4 finger amput	0
I can not do a lot of bottle flips	lot bottl flip	0
First	first	0
I,AM FROM GORGIA	iam gorgia	0
Anyone else saw the dart flying from somewhere else to pop the ballon on top of his head? Lol your exposed!!!	anyon els saw dart fli somewher els pop ballon top head lol expos	1
airplane stereotypes please!!	airplan stereotyp pleas	1
Tyler: I’ll do one of these.They are gonna thing I’m crazy😂😂😂	tyler ill one thesethey gon na thing im crazi	-1
The bottles that you are using are the worst kinde	bottl use worst kind	-1
Just saw this page and made me like for the first time .. deym brotha your videos are unique and entertaining.	saw page made like first time deym brotha video uniqu entertain	1
from were do you get your big pringles pipes? thanks for your answer:)	get big pringl pipe thank answer	1
wow that is awsome	wow awsom	1
They used a credit card for breaking a bottle	use credit card break bottl	0
Darth Vader the puns are strong with this one...	darth vader pun strong one	1
That ladder has been through a lot	ladder lot	0
YYYYEEEESSS.....I have been waiting all week for this !!!	yyyyeeeesssi wait week	0
it's cooking time & then eating time, taylor, jeshh!, get it right from the sentence phasing	cook time eat time taylor jeshh get right sentenc phase	-1
Yay,new video	yaynew video	0
if u could make a video of some trick shots that can be used in a real game of ping pong that would be cool. they wouldn't necessarily need to be legal, but maybe enough so that your friends don't notice. lol	u could make video trick shot use real game ping pong would cool wouldnt necessarili need legal mayb enough friend dont notic lol	1
low to high	low high	0
i hope u wont surpass pewds	hope u wont surpass pewd	1
Rip the ladder and couch that were involved in this video	rip ladder couch involv video	0
Got a thumbs up with the gong hit haha 😂	got thumb gong hit haha	1
my favorite flip is sll of them	favorit flip sll	1
You forgot to break a bottle on cory's head 😂😂	forgot break bottl cori head	-1
They flipped a nickel!	flip nickel	0
Lit FAM we always savage	lit fam alway savag	0
Now I’m wondering if this video is all a optical illusion	im wonder video optic illus	0
Make a first try video	make first tri video	0
I didn't even notice you shave	didnt even notic shave	0
At 2:53 he used a credit card because he tried earlier to bust a bottle and it only cracked.	253 use credit card tri earlier bust bottl crack	0
These motherfuckers need some sponsers	motherfuck need sponser	0
Like=Meet DudePerfect  Sub =Smash your crush   Scroll=Bad Luck	likemeet dudeperfect sub smash crush scrollbad luck	-1
who has there alarm far away from your bed	alarm far away bed	-1
air to low	air low	0
These should be quarintine trickshots	quarintin trickshot	0
In the last trick 'super tall transfer ' or whatever it's called,  the spinner was going right to left, but in the slow motion replay it's going left to right.  suspect.	last trick super tall transfer whatev call spinner go right left slow motion replay go left right suspect	1
he is gambit	gambit	0
You are not tyler your real name is toney and real name of garret hilbert and i want the DUDE PERFECT	tyler real name toney real name garret hilbert want dude perfect	1
This is for you followers	follow	0
Ya'll should do a flip edition where ya'll do flips off of things	yall flip edit yall flip thing	0
I land  it on the  cap on mc Donald sign	land cap mc donald sign	0
Thought of just watching 1 min of the video.. ended up watching whole❤️!!	thought watch 1 min video end watch whole	0
Where was Pandas rocket?	panda rocket	0
Their spinner is 33 dollars btw	spinner 33 dollar btw	0
Flip a book	flip book	0
Like and sub if you spot the difference 😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😄😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀	like sub spot differ	1
Chad should be in more videos. And all the crew too, but especially chad.	chad video crew especi chad	0
How much practice did this take guys	much practic take guy	0
Hello keep CONNECT my friend.😊  Very nice!👍✨	hello keep connect friend nice	1
I live there	live	0
4:54 it's the hight to low to high	454 hight low high	0
I cracked up when they had the dramatic plane scene 😂😂😂	crack dramat plane scene	0
0:32 what's that called? I really want one	032 what call realli want one	1
Tom and Jerry!	tom jerri	0
All were favourite	favourit	1
so Gambit basically	gambit basic	0
Congrats lunar that's awesome	congrat lunar that awesom	1
I just realized that if you stop it or make it go slow motion you can see that coby is on the right with a hose	realiz stop make go slow motion see cobi right hose	-1
They didn't do this just for fun... they made at least $50,000 just from this vid.	didnt fun made least 50000 vid	1
Cool	cool	1
Hi low low hi	hi low low hi	0
And I bet dude perfect buys subs	bet dude perfect buy sub	1
I saw them making this because my sister does gymnastics 🤸\u200d♂️ right by there	saw make sister gymnast u200d right	0
Owens flip was the best.	owen flip best	1
Third Battle with Dudes sitting on the rockets LOL	third battl dude sit rocket lol	1
I can't believe there is going to be a dude perfect show	cant believ go dude perfect show	1
Pranks and Friend fails i think its just one of them	prank friend fail think one	-1
i dont know why but i find it annoying how you guys act like you did it first try when you clearly didnt and you guys pretty much over react when you make a shot	dont know find annoy guy act like first tri clearli didnt guy pretti much react make shot	1
does anyone else think panda is one of those twins	anyon els think panda one twin	0
More		0
I like you so much that I watch your videos everyday	like much watch video everyday	1
FaZe Apex ***** you think you guys can do better ? 	faze apex think guy better	1
@@Unknown5571 why should we, anyone who self promotes doesn't even deserve YouTube	unknown5571 anyon self promot doesnt even deserv youtub	1
SO excited for All Sports battle next week	excit sport battl next week	1
They're running out of ideas	theyr run idea	0
Well done pure talent right here cool video DP	well done pure talent right cool video dp	1
They must love Doritos	must love dorito	1
the cards are so thick how did you cut threw the banana	card thick cut threw banana	-1
If ben there befor	ben befor	0
you should do dizzy cricket	dizzi cricket	-1
My favorite shot was when Cody blowed the candle with just a bottle	favorit shot codi blow candl bottl	1
When you flipped the sofa you should have jumped on it because this trick makes a nice video of falling from a height	flip sofa jump trick make nice video fall height	1
This guy should tutor Channing Tatum in preparation for the Gambit movie!	guy tutor chan tatum prepar gambit movi	0
3:28   it was like zircon on modern warships, it's pretty fast	328 like zircon modern warship pretti fast	1
low to high	low high	0
I watch your videos and can you make your  football  toy   less money😈😆👍💩💏😎	watch video make footbal toy less money	0
'Oh look I found a bit coin '	oh look found bit coin	0
flip a dresser with clothes in it	flip dresser cloth	0
On the Way to 19 million Subs	way 19 million sub	0
I'm sure he already took a picture before Ty jumped in (I mean that he took the picture and then Ty came in) 1:42	im sure alreadi took pictur ty jump mean took pictur ty came 142	0
The double flip slider was cool   and I like it)	doubl flip slider cool like	1
Chair Yes, he's real! xD	chair ye he real xd	1
You guys should do another stereotype video, the theme should be playing a instrument or playing in a band	guy anoth stereotyp video theme play instrument play band	-1
Why was cody I think bleeding	codi think bleed	0
I think it’s funny how at the around the world he threw a credit card	think funni around world threw credit card	1
it looks like theres a magnet on the  toy	look like there magnet toy	1
What about the 'hate sand on feet' guy	hate sand feet guy	-1
you should do hospital stereotypes	hospit stereotyp	0
Pin this commit	pin commit	1
3:46'Hacker' FBI Open The Door	346hacker fbi open door	0
Who else saw a rainbow at 6:16	els saw rainbow 616	0
flip you ty  and  all  the  rest  of  you  guys	flip ty rest guy	0
Coby and Cory are so cute	cobi cori cute	1
Nice throw dude perfect i want more bottle flip my name is kenzo and i subscribe and i like your video dude purfect and i want more basketball dude perfect.😀👍👍👍👍👍🎼🎼📷🙋🙌	nice throw dude perfect want bottl flip name kenzo subscrib like video dude purfect want basketbal dude perfect	1
U guy are sooo awesome I love you guys vid :D	u guy sooo awesom love guy vid	1
low to high	low high	0
I feel sorry for your home	feel sorri home	-1
The reason there so happy after they do one trick shot is because it took so many tries	reason happi one trick shot took mani tri	1
Hacker 982 Ok wow fuck off	hacker 982 ok wow fuck	0
James Franco would destroy him👌	jame franco would destroy	-1
wow Joss video i am enjoy this video  52 M View hot	wow joss video enjoy video 52 view hot	1
Do blow dart vid	blow dart vid	0
Tyler's has too much power	tyler much power	0
This will not be popular	popular	1
Well I do not like the parts when they messed up just not cool😲😲	well like part mess cool	1
Love the walking on water part	love walk water part	1
Tyler did not read the Instructions!	tyler read instruct	0
they flipped a nickel	flip nickel	0
The people who made the song for this must be rich of this video	peopl made song must rich video	1
i have a idea why don you guys let your wife do the goal trick	idea guy let wife goal trick	0
The drab crate kelly annoy because bubble intrahepatically steer per a muddled daniel. parallel, unaccountable transmission	drab crate kelli annoy bubbl intrahepat steer per muddl daniel parallel unaccount transmiss	-1
Dude those moments are so cool to me! 🤣🤣😎😎	dude moment cool	1
technacly Cory gets an extra 300 ft. because it landed in a tree and never actually touched the ground, and in the first one when Cody's didn't take off he 'caught' it because it didn't touch the ground.	technacli cori get extra 300 ft land tree never actual touch ground first one codi didnt take caught didnt touch ground	0
Dp I know you spend lots of time on these vids but you say you take getting accused for faking things, what I'm trying to say is you can't fool me (u can) but the nickel, ladder, and golf T was a bit sketchy but............. nice try	dp know spend lot time vid say take get accus fake thing im tri say cant fool u nickel ladder golf bit sketchi nice tri	-1
Anyone in June 2019 when my fidget spinners are dead and in my trash can Edit: First time i have ever gotten likes on a comment oh and i will be happy if you guys can subscribe to my channel. Thank you	anyon june 2019 fidget spinner dead trash edit first time ever gotten like comment oh happi guy subscrib channel thank	1
3:57 I see a pencil I guess they try so hard and one time failed	357 see pencil guess tri hard one time fail	-1
He looks like my freakin gym teacher	look like freakin gym teacher	1
I loved the trick shots	love trick shot	1
I am the diving catch guy in the beach😂	dive catch guy beach	0
high to low	high low	0
This is what crazy is about.	crazi	-1
The nickel one was epic ^^.	nickel one epic	0
I can't wait to watch your upcomming show :)	cant wait watch upcom show	0
YOU GUYS ARE INSANE AWSOME JOB GUYS REAL NINJAS	guy insan awsom job guy real ninja	-1
I can do that🤨		0
High to low then low to high	high low low high	0
It’s high to low to high	high low high	0
I've only landed one twice in 100 times, Thier clever	ive land one twice 100 time thier clever	1
Mobile laser shot was the best of them all	mobil laser shot best	1
Whenever I go to the beach thereʻs always the biggest guy wearing the tiniest speedo I swear	whenev go beach thereʻ alway biggest guy wear tiniest speedo swear	-1
My favourite was the end of the ladder	favourit end ladder	1
I'm shocked you guys still have a job..  This shit is so old. 	im shock guy still job shit old	-1
Why does Cory always say [sketchie]	cori alway say sketchi	0
They have nmds 😂	nmd	0
Where'd u buy them	where u buy	0
Shattered it!....rad solo T	shatter itrad solo	-1
'I found a Bitcoin'🤣  Nice 👍	found bitcoin nice	1
What ??????? How ???????? 😱😱😱😱😱😱		0
In memory of the silver bullet               Rest in peace	memori silver bullet rest peac	1
You practice before hand so why be excited?	practic hand excit	1
What song	song	0
THIS WAS COOL!!!	cool	1
He's practically throwing like those ninja from naruto, just with more style	he practic throw like ninja naruto style	1
I wonder if this is everyday life for them	wonder everyday life	0
trickshot water bottle....New subscriber...Badass youtubers	trickshot water bottlenew subscriberbadass youtub	-1
They do it so well I sometimes guess they are fake	well sometim guess fake	-1
This is a very good video😃😃😃😃	good video	1
I wonder if they could flip a real car. Like a mini cooper	wonder could flip real car like mini cooper	1
Make more cool vids	make cool vid	1
No no your not the navy used it on the f14 tomcat and fun fact the tomcat can carry 6 of them and they can reach a target 200 miles away and that’s why it was so big	navi use f14 tomcat fun fact tomcat carri 6 reach target 200 mile away that big	1
Congratulations you made it pass the fake dude perfect accounts	congratul made pass fake dude perfect account	1
NOT HATE, why did yall look at your rocket instead of heading for the 4 wheeler to catch the rocket	hate yall look rocket instead head 4 wheeler catch rocket	-1
You should do a maltersers trickshot         like if u agree	malters trickshot like u agre	1
Lol that was so subtle i didnt even think was dirty till u pointed it out so someones head is in the gutter	lol subtl didnt even think dirti till u point someon head gutter	1
It's the Hilo Hilo shot.	hilo hilo shot	0
how is pander plays tal me now	pander play tal	0
U guys are the best in the world	u guy best world	1
OMFG, REAL FUN WILL WATCH FROM 0:00 TO 7:54	omfg real fun watch 000 754	1
Coasters the best	coaster best	1
both		0
For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life.	god love world gave one son whoever believ shall perish etern life	1
Edward Yap Will a normal paper card break the bottle? Nope, use a stronger card, the plastic kind.	edward yap normal paper card break bottl nope use stronger card plastic kind	1
tell me from which world do u come from	tell world u come	0
This is impossible	imposs	0
Low to high	low high	0
Please make a third part of the model rocket battles	pleas make third part model rocket battl	0
Very cool	cool	1
That's problem the hardest one you've ever done	that problem hardest one youv ever done	-1
Chief Chafer	chief chafer	0
That was tough	tough	0
It's the high to low return	high low return	0
Love the hope I don’t split his melon part!	love hope dont split melon part	1
I wonder how many subs the just lost	wonder mani sub lost	-1
This is just a comment... Pls no like	comment pl like	1
waste of money	wast money	-1
more...        but with limited resources	limit resourc	-1
Where were the twin towers?	twin tower	0
Was the barrel roll suppose to go through the hoop?	barrel roll suppos go hoop	0
it is high to low to low to high	high low low high	0
Wow Coby is an Admin  :key me  Me:Key me          Voice:your not an Admin	wow cobi admin key mekey voiceyour admin	1
Both		0
Everyone has a Apple Watch !?!?!	everyon appl watch	0
How can ty flip a ladder and couch	ty flip ladder couch	0
Water bottle flips are the easiest, silliest thing to act like takes skill. Especially when these guys only fill the bottom 20%. That's the optimum amount to ensure the bottle always wants to land on its bottom. All you have to do is rotate it somewhere in the ballpark and gravity finishes it for you.    People don't understand physics even when it's staring them in the face.	water bottl flip easiest silliest thing act like take skill especi guy fill bottom 20 that optimum amount ensur bottl alway want land bottom rotat somewher ballpark graviti finish peopl dont understand physic even stare face	1
No couches were harmed during the filming of this video	couch harm film video	-1
Ultimate Game pro that’s what I was about to say	ultim game pro that say	0
Dude  perfect  can you come to my house it's 406 north main street  in del rio plz	dude perfect come hous 406 north main street del rio plz	1
thats kinda rude actin like surfers	that kinda rude actin like surfer	0
This popped up in my recommended videos on 9/11.	pop recommend video 911	1
Do the floor is lava	floor lava	0
i want dude perfect to play airplane RC	want dude perfect play airplan rc	1
I'm the burry me guy.	im burri guy	0
Didn’t Cory have his rocket stuck in the tree so it didn’t actually touch the ground? Should he not get the catch bonus like Cody did in rocket battle 1?	didnt cori rocket stuck tree didnt actual touch ground get catch bonu like codi rocket battl 1	-1
Friend: I need a knife to cut meat.  Rick:	friend need knife cut meat rick	0
you should flip each other	flip	0
your house	hous	0
DO a haircut stereotype	haircut stereotyp	-1
Your team is awesome	team awesom	1
Don't even know what to say	dont even know say	0
Do coconut edition   U can use them as basketball's or u can use them as the hoop	coconut edit u use basketbal u use hoop	0
They did great trickshots out of a lame toy. Why give a dislike you idiots?	great trickshot lame toy give dislik idiot	-1
High to low	high low	0
Is not Dude perfect anymore is Dude Very perfect	dude perfect anymor dude perfect	1
I love how you can tell how you put so much effort in these videos. Thank you.	love tell put much effort video thank	1
high to low	high low	0
I want To by it   But my contry  don't sell  it	want contri dont sell	1
On the second flipticall illusion  the trash gave it away	second fliptical illus trash gave away	0
high to low low to high	high low low high	0
yo daddy stop being a bitch if you dont like theese vids dont watch them	yo daddi stop bitch dont like thees vid dont watch	-1
How about a Nerf war in the city with people in	nerf war citi peopl	-1
You are a piece of shit	piec shit	-1
they edit there videos	edit video	0
I like the last one	like last one	1
When you realised thia video has more views than t series subs	realis thia video view seri sub	0
Sorry guys, I forgot to the camera on...	sorri guy forgot camera	-1
I want rc bucket eddition	want rc bucket eddit	1
LOL THAT POOR GOLF CART	lol poor golf cart	1
Make a 2nd one!!	make 2nd one	0
I call hacks, stop the aimbot...	call hack stop aimbot	-1
Obviously this is fake. No toy car could go that fast and that jump would have destroyed the car.                                                                                                                                                                          (I’m joking)	obvious fake toy car could go fast jump would destroy car im joke	-1
Yaaas so hyped up for this. This will be great also.  1 coby  2 Cody  3 Cory  4 Tyler  5 garret  6 panda	yaaa hype great also 1 cobi 2 codi 3 cori 4 tyler 5 garret 6 panda	1
Both		0
If you're ever in my town, I'll buy you a beer for that one!	your ever town ill buy beer one	0
